file name,function,slicing criterion,initial number of instrs,slice size without pointers,slice size,slice size difference,reduction factor,cfg_time (ms),spec_time (ms),vsa_time (ms),control_time_without_pointers (ms),control_time (ms),data_time_without_pointers (ms),data_time (ms),mem_time_without_pointers (ms),mem_time (ms),global_time_without_pointers (ms),global_time (ms),instr_to_keep_time_without_pointers (ms),instr_to_keep_time (ms),slicing_time_without_pointers (ms),slicing_time (ms),total_time_difference (ms)
examples/slices_that_may_grow/----example2.wat,0,0_0,3,2,2,0,0.,0.0429153442383,0.00405311584473,0.686883926392,0.00286102294922,0.00119209289551,0.00810623168945,0.00405311584473,0.0529289245605,0.0548362731934,0.000953674316406,0.,0.000953674316406,0.000953674316406,0.204086303711,0.,0.217437744141
examples/slices_that_may_grow/----example2.wat,0,0_1,3,4,4,0,0.,0.0429153442383,0.00405311584473,0.686883926392,0.00286102294922,0.00119209289551,0.00810623168945,0.00405311584473,0.0529289245605,0.0548362731934,0.000953674316406,0.,0.000953674316406,0.,0.000953674316406,0.,0.0133514404297
examples/slices_that_may_grow/----example2.wat,0,0_2,3,3,3,0,0.,0.0429153442383,0.00405311584473,0.686883926392,0.00286102294922,0.00119209289551,0.00810623168945,0.00405311584473,0.0529289245605,0.0548362731934,0.000953674316406,0.,0.000953674316406,0.00119209289551,0.,0.000953674316406,0.0145435333252
examples/slices_that_may_grow/----example2.wat,1,1_0,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00309944152832,0.00500679016113,0.00381469726562,0.44322013855
examples/slices_that_may_grow/----example2.wat,1,1_1,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00476837158203,0.00309944152832,0.00381469726562,0.00405311584473,0.441312789917
examples/slices_that_may_grow/----example2.wat,1,1_2,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00309944152832,0.00286102294922,0.00309944152832,0.440120697021
examples/slices_that_may_grow/----example2.wat,1,1_3,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00286102294922,0.00286102294922,0.00309944152832,0.439882278442
examples/slices_that_may_grow/----example2.wat,1,1_4,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00429153442383,0.00309944152832,0.00286102294922,0.00286102294922,0.439643859863
examples/slices_that_may_grow/----example2.wat,1,1_5,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00309944152832,0.00166893005371,0.00309944152832,0.438928604126
examples/slices_that_may_grow/----example2.wat,1,1_6,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00309944152832,0.00309944152832,0.00309944152832,0.00190734863281,0.440120697021
